family_name,mean_delta,median_delta,std_delta,positive_fold_count,n_folds
meteo,0.5928874239629238,2.3003829524776904,21.70048608255519,3,5
ratios_shares,-2.38965980026979,-2.8517520686209252,2.2411155867699732,1,5
lags,-2.662924812712974,-1.85711024715728,4.248279000112007,2,5
