market,feature,mean_abs_shap
Market C,convective_available_potential_energy,0.4857120436067217
Market C,load_forecast,0.4831938913412637
Market C,direct_normal_irradiance,0.453959233189409
Market C,wind_forecast_roll_mean_24,0.4407988088489809
Market C,wind_forecast_diff_1,0.42678998424868925
Market C,wind_forecast_lag_1,0.4186021306230107
Market C,wind_forecast_diff_6,0.40914650600815455
Market C,wind_forecast,0.4047942748129127
Market C,cloud_cover_total,0.4009117219248324
Market C,solar_forecast_diff_1,0.3701549436335809
Market C,wind_forecast_lag_2,0.315042882480787
Market C,solar_forecast_roll_mean_6,0.3001662214596902
Market C,temp_dew_spread,0.2998405943542595
Market C,wind_dir_cos,0.29436551272357403
Market C,residual_load_lag_6,0.28639612176069984
Market C,wind_forecast_lag_6,0.26567103398957653
Market C,residual_load_lag_1,0.24923377435860736
Market C,global_horizontal_irradiance,0.2415645523691353
Market C,wind_speed_10m,0.2302754604430449
Market C,air_temperature_2m,0.21946341335578531
Market C,wind_dir_sin,0.2140560508305304
Market C,wind_speed_80m,0.21365019183164488
Market C,wind_forecast_roll_mean_6,0.2094886533812312
Market C,cloud_cover_low,0.2094437997233456
Market C,wind_gust_speed_10m,0.2016502989407226
Market C,gust_ratio_10m,0.19926881778611769
Market C,relative_humidity_2m,0.17943517864729144
Market C,temp_apparent_gap,0.17504463710043233
Market C,load_forecast_lag_6,0.16841243688156152
Market C,convective_inhibition,0.1558242875792973
Market C,solar_forecast_lag_2,0.14890217274862583
Market C,load_forecast_lag_1,0.1301507871553753
Market C,load_forecast_roll_mean_6,0.12562328845745663
Market C,clear_sky_proxy,0.12412693538099379
Market C,solar_forecast_lag_1,0.11842403796192615
Market C,diffuse_horizontal_irradiance,0.11676662734671575
Market C,wind_direction_80m,0.11393814082884857
Market C,cloud_low_share,0.11142062159522588
Market C,load_forecast_lag_2,0.09762413431961768
Market C,residual_load_roll_mean_6,0.09144518950150106
Market C,residual_load_lag_2,0.07699268436911902
Market C,precipitation_amount,0.006644112381590073
Market D,global_pred_feature,11.747397727935956
Market D,wind_forecast_roll_mean_24,1.520181435124114
Market D,wind_speed_10m,1.2704956661929583
Market D,wind_forecast_lag_1,1.0784202464702284
Market D,wind_speed_80m,1.0783440559651516
Market D,convective_inhibition,0.9958003388776274
Market D,wind_forecast,0.9613353275282303
Market D,load_forecast_roll_mean_24,0.8862950936039556
Market D,freezing_level_height,0.8561517942858494
Market D,temp_apparent_gap,0.7586119827698586
Market D,convective_available_potential_energy,0.6898942012994005
Market D,air_temperature_2m,0.6552485422220703
Market D,cloud_cover_total,0.6527021276098773
Market D,wind_forecast_diff_1,0.6499538517083594
Market D,residual_load_lag_1,0.5881447623108499
Market D,wind_gust_speed_10m,0.5772484425083063
Market D,solar_forecast_roll_mean_24,0.5588829406508156
Market D,dew_point_temperature_2m,0.5543096884099981
Market D,ws_ratio_80_10,0.520935937714135
Market D,wind_direction_80m,0.5145520082758843
Market D,residual_load_roll_mean_24,0.5111865678186596
Market D,load_forecast,0.47217109070837116
Market D,wind_dir_sin,0.4633954530068132
Market D,apparent_temperature_2m,0.45428487727466565
Market D,solar_forecast_diff_1,0.4476781277813162
Market D,solar_forecast,0.4131167039896926
Market D,wind_dir_cos,0.4050019066589995
Market D,load_forecast_lag_6,0.4037186884302059
Market D,global_horizontal_irradiance,0.3836198849938973
Market D,residual_load_lag_6,0.38320754216261255
Market D,gustiness_10m,0.38319198426833373
Market D,wind_forecast_lag_2,0.38302827939776285
Market D,wind_forecast_diff_6,0.36651241848059696
Market D,diffuse_horizontal_irradiance,0.34872890049638494
Market D,load_forecast_lag_2,0.34239331813992474
Market D,solar_forecast_roll_mean_6,0.32956192200591156
Market D,gust_ratio_10m,0.2903939644293171
Market D,temp_dew_spread,0.2817759501909091
Market D,direct_normal_irradiance,0.2727491099838087
Market D,load_forecast_lag_1,0.26747415964113785
Market D,solar_forecast_lag_2,0.24255093559138186
Market D,solar_forecast_lag_6,0.2352170796359358
Market D,solar_forecast_lag_1,0.22444604574019236
Market D,load_forecast_roll_mean_6,0.20412894739696674
Market D,clear_sky_proxy,0.1994669997891875
Market D,wind_forecast_roll_mean_6,0.1885075414523644
Market D,residual_load_roll_mean_6,0.16543007548607716
Market D,relative_humidity_2m,0.14509067817038881
Market D,wind_forecast_lag_6,0.13649249953202525
Market D,residual_load_lag_2,0.11337547532571655
Market D,cloud_cover_low,0.1080343134755724
Market D,cloud_low_share,0.10063575810183609
Market D,precipitation_amount,0.006190666581527804
Market E,global_pred_feature,9.615524807723702
Market E,temp_apparent_gap,1.939970789423565
Market E,wind_dir_cos,1.706507546364855
Market E,wind_forecast,0.962471156724461
