fold,group_id,group_size,baseline_rmse,rmse_permuted,delta
1,corr_0236486778,1,44.54650467336849,44.543503583032745,-0.0030010903357435836
1,corr_0483385472,1,44.54650467336849,44.62180975872433,0.07530508535584346
1,corr_0886650671,4,44.54650467336849,46.53167990680113,1.985175233432642
1,corr_1192924449,1,44.54650467336849,44.66474852344132,0.11824385007282956
1,corr_1343014976,2,44.54650467336849,43.61222607144093,-0.9342786019275593
1,corr_1357953899,1,44.54650467336849,44.418940573684765,-0.12756409968372395
1,corr_1415424846,1,44.54650467336849,44.55555966105624,0.00905498768775459
1,corr_1623867630,1,44.54650467336849,44.49584735263524,-0.0506573207332508
1,corr_2275077728,1,44.54650467336849,56.12273061704444,11.57622594367595
1,corr_2509418395,1,44.54650467336849,108.97915208834047,64.43264741497198
1,corr_2560062090,1,44.54650467336849,44.36041560146178,-0.1860890719067072
1,corr_3117243768,1,44.54650467336849,46.85635643414171,2.3098517607732205
1,corr_3191339436,1,44.54650467336849,44.48169291919047,-0.06481175417801666
1,corr_3285871255,1,44.54650467336849,45.0961943763986,0.5496897030301113
1,corr_3385211174,1,44.54650467336849,44.674715431716386,0.12821075834789752
1,corr_3610666499,1,44.54650467336849,44.5858615191633,0.039356845794813466
1,corr_4124592631,1,44.54650467336849,44.45412515390185,-0.09237951946663969
1,corr_4430662294,1,44.54650467336849,44.5372806317204,-0.009224041648089099
1,corr_4744811163,1,44.54650467336849,44.601363447026074,0.0548587736575854
1,corr_4926823990,1,44.54650467336849,44.49200256330679,-0.054502110061697806
1,corr_5023244165,1,44.54650467336849,44.85427531522421,0.30777064185571845
1,corr_5451305703,1,44.54650467336849,45.36817166061983,0.8216669872513407
1,corr_6196007373,3,44.54650467336849,51.79740948128008,7.2509048079115885
1,corr_6296024613,1,44.54650467336849,44.59263170912651,0.04612703575801902
1,corr_6339531555,1,44.54650467336849,44.596294401667436,0.04978972829894701
1,corr_6758112138,1,44.54650467336849,44.49044734457861,-0.05605732878987624
1,corr_6816881002,1,44.54650467336849,44.51748937107258,-0.029015302295910317
1,corr_6978208519,1,44.54650467336849,44.51966702108941,-0.026837652279077417
1,corr_7206706905,1,44.54650467336849,44.90016037435513,0.3536557009866428
1,corr_8068499262,1,44.54650467336849,44.50383222747083,-0.04267244589765795
1,corr_8176627145,1,44.54650467336849,44.50587060439134,-0.040634068977148274
1,corr_8258561280,1,44.54650467336849,44.52416778453537,-0.022336888833116575
1,corr_8634248168,4,44.54650467336849,44.7631494796433,0.21664480627481453
1,corr_8639525639,1,44.54650467336849,51.833117237810335,7.286612564441846
1,corr_9128207942,1,44.54650467336849,44.40950349244702,-0.13700118092146596
1,corr_9340067769,2,44.54650467336849,44.394933975132226,-0.151570698236263
1,corr_9476414212,1,44.54650467336849,45.4183547217806,0.8718500484121137
1,corr_9625579007,1,44.54650467336849,44.5350573921086,-0.011447281259890474
1,corr_9810209215,1,44.54650467336849,44.68272547579732,0.13622080242883072
1,corr_9826885691,1,44.54650467336849,44.60166752867623,0.05516285530774212
1,corr_9954955942,1,44.54650467336849,46.859181584348065,2.312676910979576
1,corr_9989339831,1,44.54650467336849,44.53871363716754,-0.007791036200949009
2,corr_0236486778,1,59.73428066529634,59.61493221006078,-0.11934845523555992
2,corr_0483385472,1,59.73428066529634,59.73506243402346,0.0007817687271227669
2,corr_0886650671,4,59.73428066529634,60.79158217819757,1.0573015129012333
2,corr_1192924449,1,59.73428066529634,60.148563054382315,0.4142823890859759
2,corr_1343014976,2,59.73428066529634,59.190736643890105,-0.5435440214062339
2,corr_1357953899,1,59.73428066529634,59.571079312593106,-0.16320135270323277
2,corr_1415424846,1,59.73428066529634,59.85894028164535,0.1246596163490139
2,corr_1623867630,1,59.73428066529634,64.36287613539821,4.628595470101871
2,corr_2275077728,1,59.73428066529634,63.44029729166302,3.706016626366683
2,corr_2509418395,1,59.73428066529634,96.42626083280615,36.69198016750981
2,corr_2560062090,1,59.73428066529634,59.851163402447554,0.11688273715121511
2,corr_3117243768,1,59.73428066529634,66.83242732844852,7.098146663152178
2,corr_3191339436,1,59.73428066529634,59.48789657756333,-0.24638408773300569
2,corr_3285871255,1,59.73428066529634,63.23919097955939,3.50491031426305
2,corr_3385211174,1,59.73428066529634,60.49509316707722,0.7608125017808831
2,corr_3610666499,1,59.73428066529634,59.78013211736,0.04585145206365837
2,corr_4124592631,1,59.73428066529634,59.67497752889175,-0.059303136404587065
2,corr_4430662294,1,59.73428066529634,65.67502670156084,5.9407460362645
2,corr_4744811163,1,59.73428066529634,59.52185664568151,-0.21242401961482926
2,corr_4926823990,1,59.73428066529634,59.62048608560798,-0.11379457968835993
2,corr_5023244165,1,59.73428066529634,59.90739460131129,0.17311393601494984
2,corr_5451305703,1,59.73428066529634,60.277998481322676,0.5437178160263372
