fold,family_name,baseline_rmse,rmse_permuted,delta
1,lags,44.54650467336849,45.81377522898945,1.2672705556209607
1,meteo,44.54650467336849,46.84688762584618,2.3003829524776904
1,ratios_shares,44.54650467336849,44.75119459323785,0.20468991986935947
2,lags,59.73428066529634,60.37356615590458,0.6392854906082377
2,meteo,59.73428066529634,58.868957644535705,-0.8653230207606342
2,ratios_shares,59.73428066529634,59.367415360778246,-0.3668653045180932
3,lags,132.66086913973479,128.51700677204576,-4.1438623676890245
3,meteo,132.66086913973479,97.98269629602096,-34.678172843713824
3,ratios_shares,132.66086913973479,128.65318888403914,-4.007680255695647
4,lags,62.8859764735929,53.66576897864513,-9.220207494947765
4,meteo,62.8859764735929,84.25260340724567,21.366626933652775
4,ratios_shares,62.8859764735929,57.95928518120925,-4.926691292383644
5,lags,81.1418092947197,79.28469904756243,-1.85711024715728
5,meteo,81.1418092947197,95.98273239287832,14.840923098158612
5,ratios_shares,81.1418092947197,78.29005722609878,-2.8517520686209252
