fold,val_start,val_end,rmse,train_rows,val_rows
1,2025-06-22,2025-07-06,44.54650467336849,89629,2016
2,2025-07-06,2025-07-20,59.73428066529634,91645,2016
3,2025-07-20,2025-08-03,132.66086913973479,93661,2016
4,2025-08-03,2025-08-17,62.8859764735929,95677,2016
5,2025-08-17,2025-08-31,81.1418092947197,97693,2016
