fold,val_start,val_end,rmse,train_rows,val_rows
1,2025-06-22,2025-07-06,44.44748062785114,89629,2016
2,2025-07-06,2025-07-20,58.450718574706414,91645,2016
3,2025-07-20,2025-08-03,88.94362371234861,93661,2016
4,2025-08-03,2025-08-17,39.85880607558381,95677,2016
5,2025-08-17,2025-08-31,93.27923925981274,97693,2016
