iter	Passed	Remaining
406	6763	43088
407	6779	43069
408	6821	43215
409	6844	43237
410	6860	43217
411	6876	43194
412	6893	43178
413	6909	43162
414	6925	43140
415	6941	43115
416	6958	43100
417	6974	43078
418	6989	43057
419	7005	43033
420	7021	43011
421	7038	42997
422	7054	42976
423	7073	42973
424	7089	42953
425	7105	42930
426	7120	42906
427	7136	42887
428	7153	42872
429	7169	42848
430	7185	42832
431	7202	42814
432	7217	42790
433	7233	42768
434	7249	42746
435	7265	42725
436	7281	42706
437	7297	42687
438	7314	42668
439	7331	42655
440	7348	42643
441	7365	42626
442	7381	42607
443	7397	42588
444	7413	42567
445	7429	42544
446	7445	42521
447	7460	42498
448	7476	42475
449	7491	42453
450	7507	42434
451	7524	42418
452	7539	42390
453	7554	42363
454	7569	42341
455	7585	42319
456	7601	42297
457	7616	42272
458	7633	42256
459	7648	42231
460	7664	42211
461	7681	42195
462	7697	42176
463	7712	42153
464	7727	42129
465	7744	42110
466	7759	42086
467	7775	42065
468	7793	42057
469	7809	42037
470	7825	42018
471	7840	41994
472	7857	41979
473	7874	41964
474	7889	41938
475	7905	41919
476	7922	41904
477	7938	41885
478	7953	41861
479	7970	41844
480	7985	41818
481	8001	41799
482	8017	41778
483	8033	41758
484	8051	41754
485	8069	41742
486	8084	41715
487	8099	41692
488	8115	41671
489	8130	41648
490	8147	41633
491	8164	41617
492	8179	41593
493	8194	41568
494	8210	41551
495	8227	41534
496	8242	41510
497	8258	41492
498	8273	41469
499	8289	41446
500	8304	41423
501	8319	41400
502	8336	41383
503	8352	41362
504	8368	41343
505	8385	41330
506	8401	41313
507	8417	41291
508	8433	41273
509	8449	41252
510	8465	41232
511	8481	41215
512	8497	41196
513	8512	41171
514	8527	41146
515	8542	41125
516	8559	41108
517	8574	41087
518	8590	41064
519	8606	41046
520	8622	41028
521	8639	41013
522	8655	40995
523	8671	40976
524	8687	40957
525	8704	40942
526	8723	40936
527	8741	40926
528	8763	40937
529	8786	40946
530	8807	40954
531	8832	40975
532	8852	40973
533	8867	40950
534	8883	40928
535	8898	40907
536	8915	40891
537	8931	40871
538	8947	40854
539	8963	40833
540	8978	40810
541	8994	40791
542	9010	40770
543	9026	40753
544	9043	40738
545	9060	40720
546	9076	40701
547	9091	40680
548	9108	40663
549	9124	40647
550	9140	40624
551	9156	40605
552	9170	40580
553	9185	40555
554	9200	40534
555	9216	40513
556	9233	40497
557	9248	40475
558	9264	40453
559	9278	40429
560	9295	40412
561	9310	40391
562	9326	40370
563	9342	40349
564	9357	40327
565	9372	40303
566	9390	40296
567	9407	40281
568	9425	40268
569	9441	40250
570	9456	40228
571	9474	40214
572	9490	40196
573	9505	40175
574	9521	40154
575	9536	40132
576	9552	40112
577	9567	40092
578	9582	40067
579	9598	40047
580	9613	40026
581	9629	40008
582	9644	39984
583	9660	39964
584	9674	39938
585	9690	39919
586	9705	39897
587	9722	39881
588	9738	39862
589	9754	39843
590	9772	39832
591	9787	39812
592	9803	39792
593	9818	39770
594	9835	39755
595	9851	39736
596	9866	39715
597	9881	39692
598	9898	39677
599	9914	39659
600	9930	39640
601	9947	39624
602	9962	39602
603	9978	39583
604	9994	39564
605	10009	39543
606	10025	39523
607	10042	39510
608	10058	39491
609	10073	39467
610	10088	39446
611	10103	39422
612	10118	39401
613	10135	39385
614	10151	39367
615	10167	39350
616	10184	39333
617	10200	39317
618	10216	39299
619	10233	39281
620	10248	39262
621	10263	39238
622	10278	39218
623	10294	39197
624	10310	39179
625	10325	39156
626	10342	39144
627	10358	39125
628	10374	39105
629	10391	39090
630	10406	39070
631	10421	39048
632	10438	39031
633	10453	39012
634	10469	38993
635	10485	38973
636	10500	38951
637	10517	38937
638	10533	38918
639	10548	38898
640	10564	38880
641	10580	38862
642	10597	38845
643	10612	38825
644	10628	38807
645	10655	38826
646	10671	38808
647	10686	38789
648	10707	38788
649	10723	38770
650	10738	38749
651	10754	38730
652	10772	38718
653	10788	38698
654	10803	38678
655	10819	38661
656	10835	38642
657	10850	38620
658	10866	38600
659	10882	38584
660	10898	38566
661	10914	38545
662	10929	38525
663	10946	38509
664	10962	38491
665	10978	38473
666	10994	38455
667	11010	38438
668	11026	38418
669	11042	38401
670	11058	38384
671	11075	38369
672	11092	38353
673	11107	38332
674	11123	38312
675	11138	38293
676	11154	38273
677	11170	38255
678	11186	38238
679	11202	38219
680	11217	38197
681	11233	38182
682	11252	38174
683	11268	38154
684	11284	38137
685	11300	38118
686	11316	38099
687	11330	38077
688	11347	38059
689	11369	38061
690	11399	38090
691	11415	38074
692	11433	38062
693	11450	38045
694	11466	38028
695	11485	38021
696	11503	38008
697	11529	38024
698	11545	38006
699	11560	37985
700	11576	37966
701	11592	37949
702	11608	37931
703	11627	37920
704	11645	37910
705	11664	37900
706	11683	37891
707	11699	37875
708	11717	37863
709	11735	37850
710	11754	37841
711	11772	37829
712	11786	37807
713	11801	37786
714	11817	37766
715	11833	37747
716	11848	37726
717	11864	37707
718	11879	37687
719	11895	37669
720	11910	37648
721	11925	37626
722	11939	37603
723	11954	37581
724	11969	37558
725	11984	37539
726	12000	37521
727	12016	37502
728	12031	37481
729	12046	37458
730	12061	37439
731	12076	37415
732	12091	37395
733	12106	37374
734	12123	37359
735	12138	37339
736	12155	37323
737	12172	37308
738	12187	37288
739	12202	37266
740	12217	37245
741	12233	37227
742	12247	37204
743	12263	37185
744	12278	37164
745	12293	37145
746	12310	37129
747	12325	37108
748	12340	37088
749	12356	37069
750	12372	37051
751	12387	37031
752	12402	37009
753	12418	36991
754	12434	36975
755	12450	36956
756	12466	36937
757	12482	36920
758	12499	36905
759	12514	36885
760	12528	36862
761	12543	36841
762	12559	36822
763	12574	36802
764	12589	36782
765	12605	36762
766	12620	36741
767	12636	36726
768	12652	36707
769	12668	36687
770	12684	36672
771	12701	36656
772	12715	36633
773	12731	36614
774	12747	36597
775	12766	36589
776	12782	36572
777	12797	36550
778	12813	36531
779	12828	36512
780	12844	36495
781	12860	36477
782	12877	36461
783	12893	36444
784	12910	36428
785	12926	36411
786	12941	36390
787	12957	36372
788	12972	36351
789	12987	36332
790	13003	36313
791	13019	36296
792	13035	36279
793	13051	36261
794	13067	36244
795	13083	36225
796	13097	36204
797	13114	36186
798	13130	36169
799	13145	36149
800	13160	36129
801	13176	36111
802	13193	36096
803	13208	36078
804	13223	36057
805	13240	36040
806	13255	36021
807	13271	36003
808	13288	35988
809	13303	35969
810	13318	35947
811	13334	35930
812	13349	35909
813	13366	35894
814	13382	35878
815	13408	35886
816	13423	35868
817	13440	35853
818	13457	35838
819	13478	35832
820	13498	35826
821	13515	35810
822	13534	35801
823	13552	35790
824	13570	35776
825	13587	35760
826	13603	35743
827	13620	35729
828	13644	35733
829	13663	35723
830	13680	35708
831	13697	35693
