iter	RMSE
0	62.61756099
1	62.34316346
2	62.01775319
3	61.71584447
4	61.40037181
5	61.08108308
6	60.79958739
7	60.54665022
8	60.20145185
9	59.88843245
10	59.61556904
11	59.38178856
12	59.12105469
13	58.80479582
14	58.49330137
15	58.17928454
16	57.88902861
17	57.62093953
18	57.32881209
19	56.99897009
20	56.74074718
21	56.52850879
22	56.26921576
23	56.00342564
24	55.82813038
25	55.50789256
26	55.29337586
27	55.0265118
28	54.76302983
29	54.5440568
30	54.2754807
31	54.09367605
32	53.76219154
33	53.5307579
34	53.33366277
35	53.13079788
36	52.93299635
37	52.66442553
38	52.47310708
39	52.28686391
40	52.06957321
41	51.85119471
42	51.58960665
43	51.37682246
44	51.12667209
45	50.9418947
46	50.73402764
47	50.57123373
48	50.33821289
49	50.16077829
50	49.94150819
51	49.77929878
52	49.58642986
53	49.41194565
54	49.22731723
55	49.00150242
56	48.81148734
57	48.65176944
58	48.51627876
59	48.3380481
60	48.18830387
61	48.01787182
62	47.82160419
63	47.69071116
64	47.50489859
65	47.33424844
66	47.18673902
67	47.02388231
68	46.89579778
69	46.7059235
70	46.48510514
71	46.32795592
72	45.9252442
73	45.82285493
74	45.70759791
75	45.29719753
76	45.19919483
77	44.80077812
78	44.68234583
79	44.53837248
80	44.39265418
81	44.29254822
82	43.89846386
83	43.71732303
84	43.57618584
85	43.42640107
86	43.047955
87	42.92844278
88	42.77095267
89	42.65002679
90	42.55140358
91	42.44217715
92	42.08420142
93	41.94404473
94	41.82572101
95	41.49208543
96	41.14449251
97	41.03120262
98	40.92328927
99	40.83638518
100	40.75032785
101	40.64442212
102	40.55666569
103	40.47667837
104	40.30678454
105	40.2035465
106	39.87363991
107	39.78629086
108	39.69069927
109	39.56071293
110	39.47664212
111	39.36553805
112	39.28461292
113	38.98274829
114	38.9029687
115	38.5646779
116	38.44990915
117	38.37135313
118	38.03738988
119	37.95479779
120	37.87392101
121	37.79725006
122	37.69948803
123	37.60289263
124	37.29099598
125	37.19877054
126	36.89005523
