fold,val_start,val_end,rmse,train_rows,val_rows
1,2025-06-18,2025-08-17,63.47222450664266,121808,8640
2,2025-06-25,2025-08-24,91.44352408300321,122816,8640
3,2025-07-02,2025-08-31,96.30046564786235,123824,8640
