fold,val_start,val_end,rmse,train_rows,val_rows
1,2025-06-22,2025-07-06,50.53853205641681,89629,2016
2,2025-07-06,2025-07-20,61.67434330852911,91645,2016
3,2025-07-20,2025-08-03,64.25711957044476,93661,2016
4,2025-08-03,2025-08-17,44.09211346621402,95677,2016
5,2025-08-17,2025-08-31,108.83457987610593,97693,2016
