fold,feature,baseline_rmse,rmse_permuted,delta,n_val_rows
1,air_temperature_2m,46.25861034168865,46.29928954405904,0.040679202370391465,2016
1,air_temperature_2m_xmk_diff,46.25861034168865,46.25259800510185,-0.006012336586799449,2016
1,air_temperature_2m_xmk_mean,46.25861034168865,46.31018096611591,0.05157062442725646,2016
1,air_temperature_2m_xmk_std,46.25861034168865,46.31852009973154,0.05990975804289178,2016
1,air_temperature_2m_xmk_z,46.25861034168865,46.20326045565143,-0.05534988603722013,2016
1,apparent_temperature_2m,46.25861034168865,46.18430121545975,-0.07430912622890418,2016
1,clear_sky_proxy,46.25861034168865,46.280134411186715,0.021524069498063625,2016
1,cloud_cover_high,46.25861034168865,46.27904646221334,0.020436120524685464,2016
1,cloud_cover_low,46.25861034168865,46.23805229351993,-0.02055804816872353,2016
1,cloud_cover_mid,46.25861034168865,46.239079528358765,-0.019530813329886598,2016
1,cloud_cover_total,46.25861034168865,46.249052141301235,-0.00955820038741706,2016
1,cloud_cover_total_xmk_diff,46.25861034168865,46.246921578128635,-0.011688763560016469,2016
1,cloud_cover_total_xmk_mean,46.25861034168865,46.176473602594626,-0.0821367390940253,2016
1,cloud_cover_total_xmk_std,46.25861034168865,46.23626015805106,-0.02235018363759167,2016
1,cloud_cover_total_xmk_z,46.25861034168865,46.24450166228466,-0.0141086794039893,2016
1,cloud_low_share,46.25861034168865,46.25165822095914,-0.006952120729508238,2016
1,cloud_x_solar,46.25861034168865,46.218684884813285,-0.039925456875366194,2016
1,convective_available_potential_energy,46.25861034168865,46.193361267292,-0.06524907439665384,2016
1,convective_inhibition,46.25861034168865,46.31214367391606,0.05353333222740986,2016
1,dew_point_temperature_2m,46.25861034168865,46.20588685965565,-0.052723482033002256,2016
1,diffuse_horizontal_irradiance,46.25861034168865,46.214094098217664,-0.04451624347098715,2016
1,direct_normal_irradiance,46.25861034168865,46.1863399214308,-0.07227042025785124,2016
1,dow,46.25861034168865,46.2887053338563,0.03009499216764766,2016
1,dow_cos,46.25861034168865,46.20871969668826,-0.049890645000388645,2016
1,dow_sin,46.25861034168865,46.221136124957866,-0.03747421673078577,2016
1,dow_x_market,46.25861034168865,46.09758947889526,-0.1610208627933929,2016
1,freezing_level_height,46.25861034168865,46.2427648501396,-0.015845491549050905,2016
1,global_horizontal_irradiance,46.25861034168865,46.12935771355872,-0.1292526281299331,2016
1,gust_ratio_10m,46.25861034168865,46.2224481434533,-0.036162198235352605,2016
1,gustiness_10m,46.25861034168865,46.32996106462584,0.07135072293718991,2016
1,hour,46.25861034168865,45.98131595376904,-0.2772943879196106,2016
1,hour_cos,46.25861034168865,46.23099015730388,-0.027620184384772983,2016
1,hour_sin,46.25861034168865,46.28521097089442,0.02660062920576678,2016
1,hour_x_market,46.25861034168865,46.28196462170134,0.0233542800126898,2016
1,is_18_19,46.25861034168865,46.25861034168865,0.0,2016
1,is_evening_peak,46.25861034168865,46.261539831363066,0.0029294896744147536,2016
1,is_morning_peak,46.25861034168865,46.259926759498015,0.0013164178093632017,2016
1,is_night,46.25861034168865,46.24376948509068,-0.014840856597970742,2016
1,is_peak_17_20,46.25861034168865,46.256097174927824,-0.0025131667608278008,2016
1,is_weekend,46.25861034168865,46.25702175843526,-0.0015885832533939492,2016
1,is_winter,46.25861034168865,46.25861034168865,0.0,2016
1,lifted_index,46.25861034168865,46.266751461519235,0.008141119830582966,2016
1,load_forecast,46.25861034168865,46.25703059018713,-0.001579751501523674,2016
1,load_forecast_diff_1,46.25861034168865,46.10648091611376,-0.15212942557489129,2016
1,load_forecast_diff_24,46.25861034168865,46.16530556821769,-0.09330477347096178,2016
1,load_forecast_diff_6,46.25861034168865,46.36578703744433,0.10717669575567612,2016
1,load_forecast_lag_1,46.25861034168865,46.17549630459804,-0.08311403709060983,2016
1,load_forecast_lag_168,46.25861034168865,46.35251881449134,0.09390847280268844,2016
1,load_forecast_lag_2,46.25861034168865,48.94111072994646,2.6825003882578073,2016
1,load_forecast_lag_24,46.25861034168865,46.25249048553464,-0.006119856154008119,2016
1,load_forecast_lag_48,46.25861034168865,46.30691296634952,0.04830262466087021,2016
1,load_forecast_lag_6,46.25861034168865,46.18834044742244,-0.070269894266211,2016
1,load_forecast_roll_mean_24,46.25861034168865,46.25055351634462,-0.008056825344034735,2016
1,load_forecast_roll_mean_6,46.25861034168865,46.065092267792934,-0.19351807389571718,2016
1,load_forecast_roll_mean_72,46.25861034168865,46.26889005171628,0.01027971002763195,2016
1,load_forecast_roll_std_24,46.25861034168865,46.306260362426066,0.04765002073741442,2016
1,load_forecast_roll_std_6,46.25861034168865,46.38838513171624,0.1297747900275894,2016
1,load_forecast_roll_std_72,46.25861034168865,46.26655761471081,0.007947273022161028,2016
1,load_forecast_xmk_diff,46.25861034168865,46.25447953253047,-0.004130809158183979,2016
1,load_forecast_xmk_mean,46.25861034168865,46.266214470660564,0.007604128971912871,2016
1,load_forecast_xmk_std,46.25861034168865,46.25861034168865,0.0,2016
1,load_forecast_xmk_z,46.25861034168865,46.25761553424129,-0.0009948074473626889,2016
1,market,46.25861034168865,45.056519002732514,-1.2020913389561372,2016
1,meteo_missing_any,46.25861034168865,46.25861034168865,0.0,2016
1,meteo_missing_count,46.25861034168865,46.25861034168865,0.0,2016
1,month,46.25861034168865,46.25348392398466,-0.005126417703991137,2016
1,month_cos,46.25861034168865,46.26813932268441,0.009528980995760605,2016
1,month_sin,46.25861034168865,46.4646513327669,0.2060409910782468,2016
1,month_x_market,46.25861034168865,46.137422571207615,-0.12118777048103624,2016
1,net_load_share,46.25861034168865,45.043634379108425,-1.214975962580226,2016
1,precipitation_amount,46.25861034168865,46.275822836782204,0.017212495093552604,2016
1,precipitation_amount_xmk_diff,46.25861034168865,46.2442561983536,-0.014354143335054914,2016
1,precipitation_amount_xmk_mean,46.25861034168865,46.246218988940825,-0.012391352747826545,2016
1,precipitation_amount_xmk_std,46.25861034168865,46.211220805347914,-0.04738953634073795,2016
1,precipitation_amount_xmk_z,46.25861034168865,46.32230318889108,0.06369284720242518,2016
1,relative_humidity_2m,46.25861034168865,46.214873589886956,-0.04373675180169556,2016
1,residual_load,46.25861034168865,46.13947339987748,-0.11913694181117052,2016
1,residual_load_1819,46.25861034168865,46.4545799596982,0.19596961800954915,2016
1,residual_load_diff_1,46.25861034168865,46.2873303301452,0.028719988456550993,2016
1,residual_load_diff_24,46.25861034168865,46.095297664518405,-0.16331267717024645,2016
1,residual_load_diff_6,46.25861034168865,46.31671502585301,0.05810468416435555,2016
1,residual_load_lag_1,46.25861034168865,45.61681315142333,-0.6417971902653221,2016
1,residual_load_lag_168,46.25861034168865,46.17614408922619,-0.08246625246245998,2016
1,residual_load_lag_2,46.25861034168865,46.38130242397077,0.12269208228212136,2016
1,residual_load_lag_24,46.25861034168865,46.164614113805314,-0.09399622788333772,2016
1,residual_load_lag_48,46.25861034168865,46.23874097699545,-0.019869364693199998,2016
1,residual_load_lag_6,46.25861034168865,46.23430681947161,-0.02430352221703913,2016
1,residual_load_roll_mean_24,46.25861034168865,46.789292047804935,0.5306817061162832,2016
1,residual_load_roll_mean_6,46.25861034168865,46.154889829289985,-0.10372051239866664,2016
1,residual_load_roll_mean_72,46.25861034168865,46.22568583743757,-0.03292450425108484,2016
1,residual_load_roll_std_24,46.25861034168865,46.56283637794705,0.30422603625839884,2016
1,residual_load_roll_std_6,46.25861034168865,46.19228730497804,-0.06632303671061379,2016
1,residual_load_roll_std_72,46.25861034168865,46.467443648990745,0.20883330730209337,2016
1,residual_load_sq,46.25861034168865,46.29494804000102,0.036337698312365774,2016
1,residual_load_xmk_diff,46.25861034168865,46.269799672494536,0.011189330805883912,2016
1,residual_load_xmk_mean,46.25861034168865,46.080237679063686,-0.17837266262496598,2016
1,residual_load_xmk_std,46.25861034168865,46.25861034168865,0.0,2016
1,residual_load_xmk_z,46.25861034168865,46.25845767647622,-0.00015266521243262332,2016
1,solar_forecast,46.25861034168865,45.41562194641959,-0.8429883952690602,2016
1,solar_forecast_diff_1,46.25861034168865,46.893573727280085,0.6349633855914334,2016
1,solar_forecast_diff_24,46.25861034168865,46.191066862218975,-0.06754347946967698,2016
1,solar_forecast_diff_6,46.25861034168865,46.02730510387514,-0.2313052378135083,2016
1,solar_forecast_lag_1,46.25861034168865,45.98165341878119,-0.2769569229074591,2016
1,solar_forecast_lag_168,46.25861034168865,45.955484892775324,-0.3031254489133275,2016
1,solar_forecast_lag_2,46.25861034168865,46.273470389040426,0.014860047351774597,2016
1,solar_forecast_lag_24,46.25861034168865,46.60916976990083,0.3505594282121791,2016
1,solar_forecast_lag_48,46.25861034168865,46.164598237326814,-0.0940121043618376,2016
1,solar_forecast_lag_6,46.25861034168865,46.161240422403104,-0.09736991928554772,2016
1,solar_forecast_roll_mean_24,46.25861034168865,46.2592450836505,0.0006347419618464301,2016
1,solar_forecast_roll_mean_6,46.25861034168865,46.373803912972264,0.11519357128361207,2016
1,solar_forecast_roll_mean_72,46.25861034168865,46.157439320917106,-0.10117102077154527,2016
1,solar_forecast_roll_std_24,46.25861034168865,46.24679791653236,-0.011812425156293216,2016
1,solar_forecast_roll_std_6,46.25861034168865,46.23459576693337,-0.024014574755284457,2016
1,solar_forecast_roll_std_72,46.25861034168865,46.2684910340798,0.009880692391149637,2016
1,solar_forecast_xmk_diff,46.25861034168865,46.25313859910628,-0.005471742582372485,2016
1,solar_forecast_xmk_mean,46.25861034168865,45.86324586674943,-0.3953644749392211,2016
1,solar_forecast_xmk_std,46.25861034168865,46.25861034168865,0.0,2016
1,solar_forecast_xmk_z,46.25861034168865,46.25043565731443,-0.008174684374218089,2016
1,solar_share,46.25861034168865,45.82064574542386,-0.43796459626479134,2016
1,stress_ratio,46.25861034168865,46.20165104265232,-0.056959299036329014,2016
1,stress_ratio_1819,46.25861034168865,46.16219452417033,-0.09641581751832007,2016
