fold,val_start,val_end,rmse,train_rows,val_rows
1,2025-06-22,2025-07-06,46.25861034168865,122384,2016
2,2025-07-06,2025-07-20,58.899807832607046,124400,2016
3,2025-07-20,2025-08-03,87.60307210837384,126416,2016
4,2025-08-03,2025-08-17,50.799676364593275,128432,2016
5,2025-08-17,2025-08-31,209.24250790997687,130448,2016
