fold,group_id,group_size,baseline_rmse,rmse_permuted,delta
1,corr_0236486778,1,46.25861034168865,46.257982719150775,-0.0006276225378769595
1,corr_0280883957,1,46.25861034168865,46.196158233590474,-0.062452108098177916
1,corr_0325269136,1,46.25861034168865,46.204408119940375,-0.05420222174827671
1,corr_0483385472,1,46.25861034168865,46.29551894422473,0.03690860253608008
1,corr_0597931175,1,46.25861034168865,45.178304987505584,-1.0803053541830678
1,corr_0720521319,1,46.25861034168865,46.25861034168865,0.0
1,corr_0853733107,1,46.25861034168865,46.17700509537058,-0.08160524631806965
1,corr_1041900743,1,46.25861034168865,46.0063708424856,-0.2522394992030499
1,corr_1042849804,1,46.25861034168865,46.25861034168865,0.0
1,corr_1173415209,2,46.25861034168865,46.25384417422258,-0.004766167466073057
1,corr_1192924449,1,46.25861034168865,46.20296626919811,-0.05564407249054426
1,corr_1299770772,1,46.25861034168865,46.25861034168865,0.0
1,corr_1380390921,1,46.25861034168865,46.13472970083773,-0.12388064085092054
1,corr_1409983237,1,46.25861034168865,46.240505435013844,-0.018104906674807353
1,corr_1446136015,1,46.25861034168865,46.26125495786288,0.0026446161742299523
1,corr_1526553478,1,46.25861034168865,46.266358394797834,0.007748053109182251
1,corr_1542980212,2,46.25861034168865,46.27813826823636,0.01952792654770974
1,corr_1683282849,2,46.25861034168865,46.26017653911834,0.001566197429688998
1,corr_1697724107,1,46.25861034168865,46.22853684045321,-0.03007350123544228
1,corr_1700838333,2,46.25861034168865,46.2528227172384,-0.005787624450249496
1,corr_2122015058,3,46.25861034168865,45.968862268569396,-0.2897480731192559
1,corr_2157934635,1,46.25861034168865,47.150030383678256,0.8914200419896048
1,corr_2158675435,1,46.25861034168865,46.52950043818396,0.2708900964953074
1,corr_2227514340,1,46.25861034168865,46.25317990007188,-0.005430441616773862
1,corr_2275077728,1,46.25861034168865,46.81185704860995,0.5532467069212998
1,corr_2366008779,2,46.25861034168865,46.242736125812364,-0.01587421587628768
1,corr_2400414243,2,46.25861034168865,46.179000894071606,-0.07960944761704525
1,corr_2455784270,1,46.25861034168865,46.25861034168865,0.0
1,corr_2560062090,1,46.25861034168865,46.18617850361992,-0.07243183806873077
1,corr_2714073950,1,46.25861034168865,46.22619462362748,-0.03241571806117349
1,corr_2736960338,2,46.25861034168865,46.11821914593612,-0.14039119575252812
1,corr_2795231785,1,46.25861034168865,46.18902526784852,-0.06958507384013046
1,corr_2877043949,1,46.25861034168865,46.24355349185108,-0.015056849837570496
1,corr_2947925461,1,46.25861034168865,46.25544696259823,-0.0031633790904237458
1,corr_3115657934,1,46.25861034168865,46.19499301523277,-0.06361732645588347
1,corr_3191339436,1,46.25861034168865,46.30282037396613,0.04421003227747633
1,corr_3202476800,1,46.25861034168865,46.30811967771588,0.049509336027227846
1,corr_3474841011,1,46.25861034168865,46.05262716181719,-0.20598317987145975
1,corr_3500398743,1,46.25861034168865,46.332857543990634,0.0742472023019829
1,corr_3510735985,7,46.25861034168865,45.56136132437512,-0.6972490173135313
1,corr_3554533130,1,46.25861034168865,46.287739149317005,0.02912880762835357
1,corr_3610666499,1,46.25861034168865,46.21432322043583,-0.04428712125282175
1,corr_3680644634,1,46.25861034168865,46.25861034168865,0.0
1,corr_3734381569,1,46.25861034168865,46.365509263057795,0.1068989213691438
1,corr_3800548161,1,46.25861034168865,46.25191210461668,-0.006698237071972812
1,corr_3812964350,1,46.25861034168865,46.144751957125784,-0.11385838456286734
1,corr_4124592631,1,46.25861034168865,46.24256251269061,-0.01604782899804036
1,corr_4538094726,1,46.25861034168865,46.202339533642814,-0.05627080804583784
1,corr_4551744002,1,46.25861034168865,46.24344455386527,-0.015165787823384846
1,corr_4567847955,2,46.25861034168865,47.08337875799358,0.8247684163049271
1,corr_4701171285,2,46.25861034168865,46.11343198334055,-0.14517835834810455
1,corr_4744811163,1,46.25861034168865,46.253514438816715,-0.005095902871936175
1,corr_4744990440,8,46.25861034168865,45.45218910648126,-0.8064212352073881
1,corr_4783833261,1,46.25861034168865,46.266888313155015,0.008277971466362999
1,corr_4917508798,1,46.25861034168865,46.29831583940835,0.039705497719701555
1,corr_4926823990,1,46.25861034168865,46.201011737670115,-0.057598604018537
1,corr_5022224778,1,46.25861034168865,46.43623535509725,0.17762501340860126
1,corr_5038114939,2,46.25861034168865,46.25952158350838,0.000911241819729014
1,corr_5239127947,1,46.25861034168865,46.555675479917106,0.2970651382284544
