market,feature,mean_abs_shap
Market A,clear_sky_proxy,0.15897854469677264
Market A,wind80_x_residual_load,0.15850392640144814
Market A,solar_forecast_xmk_mean,0.14946023057090457
Market A,load_forecast,0.14651410973365045
Market A,residual_load_lag_24,0.14630188114190049
Market A,hour_cos,0.14545273103845857
Market A,gust_ratio_10m,0.1428956424361627
Market A,month_sin,0.13525577269035285
Market A,hour_x_market,0.1299796395526693
Market A,cloud_x_solar,0.12954825569864406
Market A,cloud_cover_total_xmk_diff,0.10647034037964014
Market A,load_forecast_roll_std_6,0.10334904061763237
Market A,residual_load_xmk_diff,0.0977859192296302
Market A,target_profile_mh_mean,0.09288610509234552
Market A,load_forecast_lag_2,0.0805531549413267
Market A,dow,0.0799679191389203
Market A,cloud_cover_low,0.07962341129739284
Market A,cloud_cover_mid,0.07594966220793128
Market A,month,0.07321157641796687
Market A,solar_forecast_xmk_z,0.057711812177981575
Market A,global_horizontal_irradiance,0.055804353709946145
Market A,is_weekend,0.05564842284681254
Market A,is_winter,0.055371013475719356
Market A,residual_load_1819,0.051215714924695475
Market A,precipitation_amount_xmk_std,0.04568852992649183
Market A,stress_ratio_1819,0.042794097578609434
Market A,month_x_market,0.0399514760911377
Market A,residual_load_xmk_z,0.03839848264626404
Market A,cloud_low_share,0.03372214106699242
Market A,load_forecast_xmk_diff,0.02088807228588557
Market A,precipitation_amount_xmk_diff,0.01775573868214421
Market A,is_18_19,0.016078345625761083
Market A,wind_forecast_xmk_diff,0.014923165385905551
Market A,precipitation_amount_xmk_mean,0.01186358437355675
Market A,precipitation_amount_xmk_z,0.010499699457333951
Market A,wind_forecast_xmk_z,0.006377959360182814
Market A,meteo_missing_any,0.005496010948918875
Market A,solar_forecast_xmk_diff,0.005238041827159118
Market A,precipitation_amount,0.0049915905605813745
Market A,meteo_missing_count,0.0001783745112013978
Market A,market,0.0
Market A,is_morning_peak,0.0
Market A,is_evening_peak,0.0
Market A,is_peak_17_20,0.0
Market A,is_night,0.0
Market A,load_forecast_xmk_std,0.0
Market A,load_forecast_xmk_z,0.0
Market A,wind_forecast_xmk_std,0.0
Market A,solar_forecast_xmk_std,0.0
Market A,residual_load_xmk_std,0.0
Market A,target_profile_m_mean,0.0
Market A,target_profile_m_std,0.0
Market B,global_pred_feature,22.53853023919831
Market B,target_profile_mhd_std,3.972038014366052
Market B,wind_speed_80m,2.030187169534056
Market B,convective_inhibition,0.9709499917132872
Market B,wind_forecast_xmk_mean,0.9351911321988453
Market B,wind_forecast,0.842324569339798
Market B,load_forecast_roll_std_72,0.8030080628503571
Market B,residual_load_lag_2,0.7021441201871741
Market B,residual_load_lag_6,0.6692747586994428
Market B,wind_dir_cos,0.6327375510321195
Market B,wind_forecast_diff_24,0.5733986875024368
Market B,residual_load_sq,0.5442494124095294
Market B,wind_forecast_lag_2,0.539244411600329
Market B,wind_dir_sin,0.5135780566022415
Market B,stress_ratio,0.48771241308139035
Market B,residual_load_diff_6,0.48469352866771215
Market B,wind_gust_speed_10m,0.4362172431198256
Market B,solar_forecast_roll_mean_6,0.43382103571181135
Market B,surface_pressure,0.43347901128209776
Market B,wind_forecast_diff_6,0.4235827224305711
Market B,wind_speed_10m,0.409549694030628
Market B,wind_forecast_lag_1,0.40850596722139443
Market B,solar_forecast_diff_24,0.4024991096304143
Market B,wind_speed_80m_xmk_mean,0.3940268848569539
Market B,freezing_level_height,0.3770032585177778
Market B,residual_load_roll_mean_24,0.3745945261541268
Market B,wind80_x_residual_load,0.36329512484758275
Market B,solar_forecast_roll_std_24,0.35913688468146776
Market B,residual_load,0.3526982562319547
Market B,load_forecast_roll_mean_24,0.34680243305320724
Market B,wind_forecast_roll_mean_24,0.3269824183612062
Market B,weekofyear,0.3107234947127303
