family_name,mean_delta,median_delta,std_delta,positive_fold_count,n_folds
meteo,-0.9374056868860166,-1.4128271768036953,22.948921872947057,1,5
ratios_shares,-5.457854566090331,-1.2257165209600416,6.860614607192683,0,5
xmk,-7.916345305182088,-3.6503220476592304,8.919563561346546,0,5
lags,-10.88246230627622,0.7310049307803368,29.61808798232362,3,5
profiles,-23.246346133836038,-8.404519043851963,31.13750043328615,0,5
