feature,mean_abs_shap
net_load_share,4.51543692880078
target_profile_mhd_std,4.108790600602358
weekofyear,3.8464869198097102
target_profile_mhd_mean,3.668546257697788
solar_forecast_lag_168,3.5495024466876792
residual_load_diff_24,3.2918764819398305
residual_load_lag_1,3.2555249646970585
surface_pressure,3.2474684018893196
air_temperature_2m_xmk_mean,2.7348470895674413
apparent_temperature_2m,1.826254371563872
air_temperature_2m,1.6838032369012415
load_forecast_roll_std_24,1.6225657219093377
residual_load,1.6185024407920579
target_profile_mh_mean,1.54283128891429
ws80_above_cutin,1.4305249667099196
ws80_sq,1.371556260234599
residual_load_lag_24,1.3549336982776587
wind_speed_80m,1.2666364289458094
residual_load_sq,1.251517585981184
wind_speed_80m_xmk_mean,1.2297788935469447
residual_load_lag_2,1.1402297470571017
load_forecast_lag_2,1.1319824840869401
load_forecast_roll_mean_72,1.1277758485646738
residual_load_diff_1,1.1054156976350151
solar_forecast_roll_mean_24,1.1030887999257066
wind_forecast_lag_24,1.1027927796048362
ws80_above_rated,1.0777544540476016
solar_forecast_diff_1,1.0707660483467099
residual_load_xmk_mean,1.054333281430854
solar_forecast_roll_mean_72,1.0362867894127439
residual_load_diff_6,1.0016309931119916
solar_forecast_roll_std_72,0.9951374530564542
target_profile_m_mean,0.9058545711156469
wind_forecast_roll_mean_24,0.8671347341471246
market,0.8560559303041809
solar_forecast_diff_24,0.8408132483919671
solar_forecast_xmk_mean,0.8191878936602288
wind_forecast_diff_24,0.809537453441092
solar_forecast_roll_std_24,0.783896735864987
target_profile_m_std,0.7756033747925432
wind_forecast_lag_6,0.7736957355023948
month_sin,0.7633017027616182
residual_load_roll_mean_24,0.7625868959005991
ws80_cu,0.7550721643263745
wind_dir_cos,0.7515022619317503
wind_forecast_lag_1,0.7283930241718136
residual_load_roll_mean_72,0.7084671447372367
residual_load_roll_std_24,0.6921723894892376
residual_load_roll_std_72,0.6881124663260063
wind_forecast_roll_std_24,0.6813209414904449
air_temperature_2m_xmk_std,0.6709987483985305
residual_load_lag_48,0.6397572697734237
load_forecast_roll_mean_24,0.6387773130277637
load_forecast_lag_168,0.6247409260590696
wind_gust_speed_10m,0.6186247381463216
wind_forecast_roll_std_6,0.6150326922702918
solar_forecast_lag_24,0.6109668288547733
wind_speed_10m,0.5876814432979157
residual_load_1819,0.583939174846073
solar_forecast,0.5736408464427721
convective_available_potential_energy,0.5362477605870957
wind_forecast_diff_1,0.5230704233646248
temp_apparent_gap,0.5168363553840147
wind_forecast_diff_6,0.5010317951930692
solar_share,0.4981651303363591
residual_load_lag_168,0.48398994777046717
wind_forecast_lag_2,0.4721959013631035
temp_dew_spread,0.467892344293893
load_forecast_diff_24,0.462851210424468
cloud_cover_total_xmk_mean,0.46177026668393456
relative_humidity_2m,0.45290327357925186
wind_forecast_roll_mean_6,0.43131332214291435
freezing_level_height,0.42335682005673053
wind_forecast_roll_std_72,0.4118266184772754
ws_ratio_80_10,0.41167736177361386
wind_forecast_lag_168,0.3938701852281991
lifted_index,0.38567033786300453
load_forecast_roll_mean_6,0.3638630514635131
load_forecast_lag_48,0.3613531526857773
stress_ratio_sq,0.34410090399229704
ws80_bin_cutout,0.33692652967055753
month_x_market,0.33664419349524055
wind_forecast,0.33429727458469183
load_forecast_diff_6,0.3301687818977805
wet_bulb_temperature_2m,0.32994484443205035
dow_cos,0.32630134018610996
load_forecast_lag_1,0.32558238378736426
stress_ratio_1819,0.32472123365348476
wind_forecast_roll_mean_72,0.32000887590846366
air_temperature_2m_xmk_diff,0.3159424529799622
convective_inhibition,0.30677325477611267
dow_x_market,0.30419126384135975
load_forecast,0.30310184767450776
diffuse_horizontal_irradiance,0.29372957767346136
load_forecast_roll_std_72,0.2925895889943688
solar_forecast_roll_mean_6,0.2868974192197572
solar_forecast_lag_1,0.2817101689308281
solar_forecast_roll_std_6,0.2618924195753459
solar_forecast_lag_48,0.2406414303615581
load_forecast_diff_1,0.23497703051985205
wind_dir_sin,0.22946444920484965
solar_forecast_lag_2,0.2274131537475187
direct_normal_irradiance,0.22041372593309436
wind_speed_80m_xmk_z,0.21671627029053545
month_cos,0.21644563718586388
global_horizontal_irradiance,0.2149129703555395
load_forecast_lag_24,0.21256827956018814
dew_point_temperature_2m,0.20663554226733136
load_forecast_xmk_mean,0.20342989186488075
wind_forecast_lag_48,0.20121737101310744
wind_speed_80m_xmk_std,0.1993019887286639
target_profile_mh_std,0.1992655241324005
residual_load_roll_std_6,0.195061316054021
wind_speed_80m_xmk_diff,0.1893010937962731
residual_load_lag_6,0.18526504671059152
solar_forecast_lag_6,0.18267387713486055
cloud_cover_total_xmk_std,0.1724765015358111
wind_direction_80m,0.16876892593415704
wind_forecast_xmk_mean,0.16627229295734008
clear_sky_proxy,0.16230363884029103
dow,0.15419167633908806
is_winter,0.14588228028391845
load_forecast_roll_std_6,0.14285680551700777
load_forecast_lag_6,0.13413335305613305
residual_load_roll_mean_6,0.13085778253858282
air_temperature_2m_xmk_z,0.12803481091733523
hour_x_market,0.1280034265839523
hour_sin,0.12697849256985624
cloud_cover_low,0.12186689843574834
wind_share,0.11741262818386214
visibility,0.10954941795758913
cloud_x_solar,0.10582491963075029
cloud_cover_total_xmk_diff,0.09671603454801965
gust_ratio_10m,0.09606996059595001
solar_forecast_diff_6,0.09329872985515467
month,0.09026345898273744
stress_ratio,0.08634928501598735
cloud_cover_mid,0.08423037566544614
gustiness_10m,0.07428747345541921
cloud_cover_total,0.07127059323955133
hour,0.0701466546755555
hour_cos,0.06630618139437895
dow_sin,0.06533023853955282
wind_forecast_xmk_diff,0.0587002584120467
precipitation_amount_xmk_mean,0.05251679974775749
precipitation_amount,0.044784599904657454
cloud_cover_total_xmk_z,0.04473679352808568
cloud_cover_high,0.038784403487037454
wind80_x_residual_load,0.0386985551038026
cloud_low_share,0.0380485664828531
load_forecast_xmk_diff,0.037755258062331674
wind_forecast_xmk_z,0.03762206908451641
residual_load_xmk_z,0.030648082763075894
ws80_medium_cubic,0.02679364312241215
solar_forecast_xmk_diff,0.02349367545867545
solar_forecast_xmk_z,0.016759642859396153
precipitation_amount_xmk_z,0.015615527732272995
residual_load_xmk_diff,0.013255085751289695
precipitation_amount_xmk_std,0.01122294004475653
ws80_bin_high,0.009190600964401493
precipitation_amount_xmk_diff,0.0077907790263839856
is_weekend,0.007185123750941129
is_morning_peak,0.006677680567563548
ws80_below_cutin,0.004946395421130097
meteo_missing_count,0.0012703930998676492
load_forecast_xmk_std,0.0
load_forecast_xmk_z,0.0
wind_forecast_xmk_std,0.0
meteo_missing_any,0.0
ws80_high_flat,0.0
is_evening_peak,0.0
solar_forecast_xmk_std,0.0
is_peak_17_20,0.0
residual_load_xmk_std,0.0
ws80_bin_medium,0.0
ws80_bin_low,0.0
is_18_19,0.0
is_night,0.0
